Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682724069.8913305,0,0,5.0,22.8
1682724075.3981185,0,0,5.0,21.4
1682724080.7464182,0,0,5.5,28.0
1682724086.1132526,0,0,6.0,27.4
1682724091.522781,0,0,5.5,25.0
1682724096.967107,0,0,6.0,23.2
1682724102.3409133,0,0,168.5,24.2
1682724107.7944567,0,0,494.0,25.4
1682724113.2037125,0,0,571.0,23.6
1682724118.599331,0,0,622.5,25.0
1682724124.0635138,0,0,310.0,21.2
1682724129.4928784,0,0,243.0,22.4
1682724135.0535374,0,0,145.5,21.2
1682724140.7003121,0,0,72.5,24.2
1682724146.3456588,0,0,55.5,23.8
1682724151.826328,0,0,41.5,27.6
1682724157.350894,0,0,28.0,29.0
1682724162.856641,0,0,25.0,25.6
1682724168.3521497,0,0,21.5,23.4
1682724173.957301,0,0,13.0,25.4
1682724179.6204834,0,0,11.0,24.6
1682724185.1932645,0,0,9.0,24.8
1682724190.7074342,0,0,8.5,26.2
1682724196.2119489,0,0,8.0,23.6
1682724201.7185385,0,0,6.5,23.6
1682724207.1971514,0,0,7.0,25.2
1682724212.700432,0,0,7.0,25.4
1682724218.205464,0,0,6.0,24.2
1682724223.714782,0,0,6.0,22.6
1682724229.225284,0,0,6.0,22.2
1682724234.7860272,0,0,6.5,31.8
1682724240.3443108,0,0,5.5,31.0
1682724245.8957994,0,0,5.0,31.0
1682724251.4437768,0,0,5.0,30.0
1682724257.0003757,0,0,5.0,32.6
1682724262.5676177,0,0,7.0,30.6
1682724268.2178745,0,0,8.0,32.2
1682724273.9043343,0,0,6.5,28.2
1682724279.4882772,0,0,7.5,30.8
1682724285.1050227,0,0,7.0,29.2
1682724290.7482564,0,0,7.0,39.8
