Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682718900.720716,0,0,5.0,23.8
1682718906.1317613,0,0,4.0,25.6
1682718911.5261412,0,0,4.0,27.4
1682718916.910771,0,0,4.0,23.8
1682718922.3181334,0,0,4.0,27.2
1682718927.692602,0,0,4.0,25.6
1682718933.145111,0,0,4.0,28.6
1682718938.594078,0,0,4.0,24.8
1682718944.052792,0,0,4.0,24.8
1682718949.4970605,0,0,4.0,23.4
1682718954.9424787,0,0,3.0,23.6
1682718960.3731856,0,0,3.5,18.4
1682718965.8523736,0,0,4.0,26.0
1682718971.3547826,0,0,3.0,24.6
1682718976.827081,0,0,3.0,24.2
1682718982.2774618,0,0,4.0,22.8
1682718987.7776463,0,0,4.5,26.6
1682718993.2511685,0,0,5.0,23.2
1682718998.7280836,0,0,4.5,21.6
1682719004.2438366,0,0,5.0,23.0
1682719009.7420933,0,0,5.0,28.2
1682719015.237993,0,0,5.0,24.6
1682719020.7713466,0,0,5.0,24.0
1682719026.3049297,0,0,5.0,27.2
1682719031.878905,0,0,4.0,23.2
1682719037.4464893,0,0,5.0,22.6
1682719043.0483682,0,0,4.0,25.0
1682719048.609171,0,0,4.0,23.4
1682719054.1892784,0,0,4.0,26.6
1682719059.7613792,0,0,4.5,24.8
1682719065.357261,0,0,5.0,24.0
1682719071.0327363,0,0,4.0,25.0
1682719076.6253877,0,0,4.0,27.4
1682719082.2825713,0,0,4.0,26.8
1682719087.890939,0,0,4.0,21.6
1682719093.518872,0,0,4.0,25.2
1682719099.1419497,0,0,5.0,27.0
1682719104.8720956,0,0,5.0,25.0
1682719110.5401952,0,0,5.0,25.8
1682719116.263745,0,0,5.0,23.8
1682719121.972713,0,0,4.5,23.6
1682719127.7351587,0,0,4.0,24.2
1682719133.410451,0,0,4.0,24.6
1682719139.0820048,0,0,4.0,23.2
1682719144.8214757,0,0,4.5,24.8
1682719150.4966202,0,0,5.0,25.4
1682719156.2019026,0,0,4.5,23.0
1682719161.8869872,0,0,4.0,26.2
1682719167.636864,0,0,4.0,27.8
1682719173.4326558,0,0,4.0,23.4
1682719179.1500177,0,0,4.0,26.6
1682719184.9104984,0,0,4.0,26.0
1682719190.6885078,0,0,3.0,22.6
1682719196.436054,0,0,3.5,26.8
1682719202.2352028,0,0,4.0,27.4
1682719208.0069716,0,0,4.0,27.2
1682719213.798946,0,0,2.0,25.0
1682719219.5956187,0,0,2.0,26.2
1682719225.3619313,0,0,2.5,21.4
1682719231.2014449,0,0,4.0,24.8
1682719237.0403695,0,0,4.0,20.8
1682719242.8826149,0,0,3.5,24.8
1682719248.757378,0,0,3.0,25.6
1682719254.623282,0,0,3.0,24.2
1682719260.481732,0,0,4.0,30.4
1682719266.3361142,0,0,4.0,23.8
1682719272.2537696,0,0,3.5,23.4
1682719278.2616584,0,0,3.0,28.4
1682719284.2287717,0,0,5.0,28.2
1682719290.257324,0,0,4.0,20.8
1682719296.3923738,0,0,4.0,25.6
1682719302.248369,0,0,4.0,20.6
1682719308.2171168,0,0,4.0,26.2
1682719314.1300912,0,0,4.0,21.6
1682719320.1302457,0,0,3.0,23.4
1682719326.0601435,0,0,3.5,23.2
1682719332.004794,0,0,3.5,22.4
1682719338.000436,0,0,2.5,28.6
1682719343.9846683,0,0,2.0,22.8
1682719350.0216022,0,0,2.0,22.0
1682719356.0057569,0,0,2.0,24.8
1682719362.0472128,0,0,2.0,23.8
1682719368.101761,0,0,3.0,27.8
1682719374.1773076,0,0,4.0,24.0
1682719380.4668837,0,0,4.5,21.0
1682719386.5394444,0,0,5.0,23.0
1682719392.5433855,0,0,5.0,23.2
1682719398.716704,0,0,5.0,23.2
1682719404.7328827,0,0,5.0,29.6
1682719410.8221512,0,0,5.0,23.0
1682719416.8595886,0,0,5.0,23.2
1682719422.9999747,0,0,5.0,29.4
1682719429.0746188,0,0,4.5,25.6
1682719435.1930346,0,0,4.0,24.0
1682719441.2504697,0,0,4.0,22.8
1682719447.503709,0,0,4.0,26.8
1682719453.7747982,0,0,3.5,27.4
1682719460.0541012,0,0,3.5,21.6
1682719466.247347,0,0,4.0,23.8
1682719472.3815882,0,0,4.0,25.4
1682719478.4544535,0,0,4.0,25.4
1682719484.5692196,0,0,4.0,27.2
1682719490.6803968,0,0,4.0,22.4
1682719496.834735,0,0,4.0,25.2
1682719503.121379,0,0,3.5,24.2
1682719509.3697221,0,0,4.0,29.0
1682719515.8296995,0,0,4.0,28.8
1682719522.1257439,0,0,4.0,23.8
1682719528.3458858,0,0,4.0,22.0
1682719534.5279403,0,0,4.0,25.6
1682719540.7195535,0,0,4.0,18.0
1682719547.132715,0,0,3.0,20.0
1682719553.346573,0,0,2.5,25.2
1682719559.5942156,0,0,4.0,22.6
1682719565.8528574,0,0,4.0,23.4
1682719572.1294413,0,0,3.0,25.6
1682719578.3085992,0,0,3.5,25.8
1682719584.6105654,0,0,4.0,23.0
1682719591.1254501,0,0,4.0,22.2
1682719597.380058,0,0,3.5,29.0
1682719603.596209,0,0,4.0,26.0
1682719609.7978213,0,0,4.0,29.2
