Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682718166.209311,0,0,5.0,23.0
1682718171.546245,0,0,5.0,27.6
1682718176.8653345,0,0,5.0,27.4
1682718182.2054899,0,0,4.0,20.4
1682718187.5590055,0,0,4.5,22.8
1682718192.9691195,0,0,5.0,25.0
1682718198.3092277,0,0,5.0,26.4
1682718203.6778147,0,0,4.0,22.0
1682718209.0650446,0,0,5.0,22.8
1682718214.5652668,0,0,5.0,22.4
1682718220.0164368,0,0,5.0,21.4
1682718225.4656363,0,0,5.0,22.6
1682718230.8862953,0,0,5.0,23.4
1682718236.2976396,0,0,5.0,24.4
1682718241.7491164,0,0,5.0,26.0
1682718247.1842635,0,0,4.5,21.4
1682718252.6023602,0,0,4.0,23.6
1682718258.0648346,0,0,4.0,24.6
1682718263.5323212,0,0,4.0,22.6
1682718269.0109134,0,0,5.0,25.8
1682718274.5181568,0,0,5.0,22.8
1682718280.0143101,0,0,5.0,25.6
1682718285.5078158,0,0,4.5,22.0
1682718291.0378675,0,0,3.5,22.4
1682718296.5709062,0,0,3.0,22.4
1682718302.1125453,0,0,3.0,21.6
1682718307.6756692,0,0,5.0,23.8
1682718313.220489,0,0,5.0,23.6
1682718318.8072617,0,0,4.5,24.0
1682718324.3442752,0,0,4.0,25.2
1682718329.9547472,0,0,4.0,21.2
1682718335.6592634,0,0,3.0,25.4
1682718341.2618766,0,0,3.0,25.4
1682718346.8482,0,0,3.5,23.8
1682718352.4572115,0,0,5.0,21.8
1682718358.0468967,0,0,4.0,18.4
1682718363.6784112,0,0,4.0,24.4
1682718369.3129418,0,0,4.0,19.2
1682718374.88567,0,0,4.0,23.2
1682718380.5158591,0,0,4.0,23.8
1682718386.132819,0,0,5.0,21.4
1682718391.7441125,0,0,5.0,23.0
1682718397.4142902,0,0,6.0,24.2
1682718403.0827355,0,0,6.0,25.4
1682718408.789672,0,0,6.0,24.6
1682718414.450457,0,0,5.0,21.6
1682718420.1127527,0,0,4.5,23.0
1682718425.8007932,0,0,4.0,24.0
1682718431.4740648,0,0,4.0,22.6
1682718437.179373,0,0,5.0,23.0
1682718442.8456774,0,0,5.0,24.2
1682718448.5596707,0,0,4.5,19.8
1682718454.2831554,0,0,4.5,26.2
1682718459.9533694,0,0,5.0,22.6
1682718465.737836,0,0,5.0,22.8
1682718471.4866297,0,0,5.0,26.0
1682718477.2512467,0,0,5.0,24.6
1682718483.0056565,0,0,5.0,25.2
1682718488.730922,0,0,4.0,23.8
1682718494.543265,0,0,4.0,24.0
1682718500.3400242,0,0,4.0,26.2
1682718506.1516862,0,0,4.0,23.2
1682718511.9539902,0,0,5.0,23.8
1682718517.7375484,0,0,4.5,27.0
1682718523.5813491,0,0,4.0,28.0
1682718529.3647084,0,0,4.0,25.0
1682718535.433099,0,0,4.0,26.2
1682718541.3031383,0,0,4.0,23.2
1682718547.2525232,0,0,4.0,22.2
1682718553.13952,0,0,4.5,21.4
1682718559.0063317,0,0,4.0,27.2
1682718564.8960474,0,0,4.5,23.2
1682718570.7605915,0,0,5.0,24.0
1682718576.64129,0,0,3.5,24.6
1682718582.4955773,0,0,4.0,21.6
1682718588.4024885,0,0,4.0,25.0
1682718594.3675997,0,0,4.0,25.2
1682718600.365755,0,0,4.0,26.0
1682718606.29197,0,0,4.0,22.0
1682718612.2198524,0,0,5.0,24.0
1682718618.1853044,0,0,6.0,23.0
1682718624.128402,0,0,6.0,24.2
1682718630.158712,0,0,5.5,26.4
1682718636.1934333,0,0,5.0,28.0
1682718642.2794766,0,0,5.0,24.4
1682718648.2287724,0,0,6.0,24.8
1682718654.188907,0,0,6.0,23.6
1682718660.310212,0,0,5.0,27.0
