Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1682720377.0840912,0,0,4.0,25.8
1682720382.676047,0,0,5.0,28.4
1682720388.0878925,0,0,4.5,24.4
1682720393.4459672,0,0,4.0,23.6
1682720398.849738,0,0,3.0,26.0
1682720404.2347684,0,0,3.5,25.8
1682720409.611025,0,0,4.0,27.0
1682720415.0365584,0,0,3.5,25.2
1682720420.4853828,0,0,3.0,27.6
1682720425.8917758,0,0,3.0,25.4
1682720431.3248909,0,0,3.0,32.4
1682720436.782328,0,0,3.5,24.8
1682720442.2404215,0,0,4.0,21.0
1682720447.7262092,0,0,3.0,24.0
1682720453.1231713,0,0,2.5,27.4
1682720458.5258102,0,0,2.0,25.6
1682720463.9669979,0,0,3.0,25.8
1682720469.3851628,0,0,3.0,22.8
1682720474.7905076,0,0,4.0,24.4
1682720480.2540085,0,0,3.0,29.0
1682720485.7084615,0,0,3.5,26.2
1682720491.189376,0,0,4.0,28.2
1682720496.691113,0,0,3.0,26.2
1682720502.1959639,0,0,3.0,21.6
1682720507.7717638,0,0,3.0,23.2
1682720513.2824512,0,0,4.5,24.4
1682720518.7629738,0,0,5.0,27.6
1682720524.2480927,0,0,5.0,25.4
1682720529.7899837,0,0,5.0,22.8
1682720535.3444803,0,0,4.5,25.0
1682720540.8733726,0,0,3.5,20.8
1682720546.451326,0,0,4.0,29.2
1682720552.0104141,0,0,3.0,25.0
1682720557.615287,0,0,3.0,28.0
1682720563.2070444,0,0,3.0,29.2
1682720568.8520048,0,0,3.0,26.4
1682720574.4127212,0,0,3.0,25.0
1682720580.1084776,0,0,4.0,26.6
1682720585.7024477,0,0,3.5,23.6
1682720591.3869262,0,0,3.0,22.8
1682720597.015995,0,0,3.0,28.2
1682720602.667611,0,0,3.0,27.4
1682720608.2993152,0,0,4.0,24.6
1682720613.9632585,0,0,4.0,32.2
1682720619.5942032,0,0,4.0,28.0
1682720625.25796,0,0,4.0,26.6
1682720630.9113746,0,0,4.0,23.0
1682720636.6709948,0,0,4.0,27.2
1682720642.3797019,0,0,4.5,27.2
1682720648.0674522,0,0,6.0,23.4
1682720653.7693198,0,0,6.0,27.0
1682720659.4326909,0,0,6.0,25.6
1682720665.1664019,0,0,6.0,25.0
1682720670.8434308,0,0,6.0,24.6
1682720676.5573797,0,0,6.0,24.4
1682720682.2797508,0,0,6.0,24.8
1682720688.0077856,0,0,5.0,26.6
1682720693.8012471,0,0,5.0,29.6
1682720699.5254936,0,0,5.5,28.6
1682720705.3220322,0,0,5.0,21.8
1682720711.12756,0,0,4.5,23.8
1682720716.935445,0,0,4.0,23.4
1682720722.9853363,0,0,5.0,23.4
1682720728.8478189,0,0,5.0,26.4
1682720734.7093344,0,0,4.0,26.0
1682720740.502788,0,0,4.0,24.0
1682720746.3733048,0,0,4.0,26.6
1682720752.2534342,0,0,4.0,23.8
1682720758.1213403,0,0,3.5,23.4
1682720763.9104106,0,0,3.0,26.2
1682720769.730274,0,0,3.0,25.2
1682720775.6312695,0,0,3.5,21.8
1682720781.5184164,0,0,3.0,27.0
1682720787.401787,0,0,3.5,25.6
1682720793.2622135,0,0,3.0,30.0
1682720799.1376362,0,0,4.0,23.2
1682720805.0435953,0,0,3.0,25.8
1682720810.9228787,0,0,3.0,23.4
1682720817.0268779,0,0,3.0,25.6
1682720823.0319428,0,0,3.0,25.0
1682720829.0422876,0,0,3.0,22.8
1682720834.964676,0,0,4.0,22.4
1682720840.9138422,0,0,4.0,21.8
1682720846.8468852,0,0,4.0,22.6
1682720852.7980719,0,0,3.0,26.6
1682720858.7330372,0,0,3.0,26.8
1682720864.6780286,0,0,3.5,22.8
1682720870.8002112,0,0,3.0,24.0
1682720876.8744352,0,0,4.0,30.2
1682720882.8407602,0,0,3.0,27.6
1682720888.8750818,0,0,4.0,22.0
1682720894.904644,0,0,4.0,21.6
1682720900.9516673,0,0,4.0,25.2
1682720907.098635,0,0,5.0,25.8
1682720913.1202495,0,0,5.0,24.0
1682720919.1502025,0,0,6.0,27.4
1682720925.191101,0,0,5.5,26.0
1682720931.320652,0,0,5.0,22.8
1682720937.4020603,0,0,5.0,26.8
1682720943.502068,0,0,5.0,25.0
1682720949.609431,0,0,5.0,24.4
1682720955.7274444,0,0,4.5,25.2
1682720961.8636343,0,0,5.0,28.2
1682720968.0880249,0,0,5.0,25.6
1682720974.4354641,0,0,5.0,27.4
1682720980.5317466,0,0,4.0,23.0
1682720986.6357527,0,0,5.0,23.4
1682720992.836001,0,0,5.0,26.8
1682720998.968606,0,0,5.0,25.0
1682721005.1223805,0,0,4.5,29.4
1682721011.2798004,0,0,4.0,26.4
1682721017.4720187,0,0,3.0,24.6
1682721023.6446812,0,0,3.0,29.6
1682721029.923301,0,0,3.5,28.4
1682721036.0891647,0,0,4.0,25.4
1682721042.2734,0,0,3.0,28.4
1682721048.462721,0,0,3.0,23.8
1682721054.7742903,0,0,3.0,24.0
1682721061.1580944,0,0,3.0,26.0
1682721067.4145703,0,0,4.0,23.6
1682721073.6722817,0,0,3.0,23.2
1682721079.9111612,0,0,3.5,27.6
1682721086.2175484,0,0,4.0,25.4
1682721092.4520683,0,0,4.0,23.4
1682721098.7054937,0,0,4.0,21.4
1682721104.9543893,0,0,3.5,26.4
1682721111.2442665,0,0,3.0,29.2
1682721117.5074801,0,0,3.0,24.6
1682721123.8224094,0,0,3.0,29.0
1682721130.145486,0,0,3.0,25.6
1682721136.7385178,0,0,3.0,24.8
1682721143.0459034,0,0,3.0,29.4
1682721149.300073,0,0,3.0,21.2
1682721155.6140723,0,0,3.0,25.4
1682721161.9684443,0,0,3.0,27.4
1682721168.3320289,0,0,2.0,23.2
1682721174.8043373,0,0,3.0,24.2
1682721181.3379712,0,0,3.0,26.4
1682721187.7169569,0,0,2.0,30.6
1682721194.0405195,0,0,2.0,23.4
1682721200.497853,0,0,2.5,22.6
1682721206.8300786,0,0,3.0,19.0
1682721213.5163262,0,0,3.0,27.2
1682721219.9674544,0,0,3.0,26.6
1682721226.3885303,0,0,3.5,27.2
1682721232.8347914,0,0,4.5,25.0
1682721239.2533414,0,0,4.5,28.8
1682721245.6627238,0,0,3.0,26.8
1682721252.1088889,0,0,3.0,26.6
1682721258.6355758,0,0,4.0,27.6
1682721265.1254716,0,0,3.5,22.0
1682721271.6919384,0,0,4.0,24.4
1682721278.458117,0,0,2.0,21.0
1682721284.9059556,0,0,2.0,22.4
1682721291.4109476,0,0,2.0,25.8
1682721298.0029778,0,0,2.0,28.8
1682721304.5555007,0,0,3.0,25.4
1682721311.1077023,0,0,3.0,24.0
1682721317.6096144,0,0,3.0,25.4
1682721324.1189532,0,0,4.0,21.4
1682721330.7250488,0,0,4.0,27.6
1682721337.400816,0,0,4.0,27.2
1682721344.1306083,0,0,4.0,25.0
1682721350.6360333,0,0,5.0,24.0
1682721357.2018511,0,0,4.0,27.8
1682721363.7982898,0,0,3.0,27.2
1682721370.4000292,0,0,4.0,24.8
1682721377.039858,0,0,5.0,26.6
1682721383.5758564,0,0,5.0,26.2
1682721390.183873,0,0,5.0,23.2
1682721396.7796676,0,0,4.5,27.8
1682721403.5543025,0,0,5.0,23.8
1682721410.2507653,0,0,4.0,27.0
1682721416.9850996,0,0,4.0,24.2
1682721423.5712984,0,0,4.0,23.0
1682721430.2344248,0,0,3.0,25.0
1682721436.8997009,0,0,2.0,28.0
1682721443.639542,0,0,3.0,31.6
