Counts in Interval,Time Period
64,2023-03-24 15:21:24.009554  to  2023-03-24 15:21:35.121061
384,2023-03-24 15:21:35.121226  to  2023-03-24 15:21:46.031415
330,2023-03-24 15:21:46.031599  to  2023-03-24 15:21:57.022964
285,2023-03-24 15:21:57.023117  to  2023-03-24 15:22:08.274205
315,2023-03-24 15:22:08.274416  to  2023-03-24 15:22:19.022652
275,2023-03-24 15:22:19.022812  to  2023-03-24 15:22:30.066076
286,2023-03-24 15:22:30.066179  to  2023-03-24 15:22:41.001218
323,2023-03-24 15:22:41.001348  to  2023-03-24 15:22:52.005642
329,2023-03-24 15:22:52.005762  to  2023-03-24 15:23:03.062384
338,2023-03-24 15:23:03.062505  to  2023-03-24 15:23:14.001252
269,2023-03-24 15:23:14.001365  to  2023-03-24 15:23:25.124681
262,2023-03-24 15:23:25.124945  to  2023-03-24 15:23:36.019012
317,2023-03-24 15:23:36.019131  to  2023-03-24 15:23:47.031399
