Counts in Interval,Time Period
0,2023-03-24 16:15:00.071964  to  2023-03-24 16:15:11.107450
0,2023-03-24 16:15:11.107620  to  2023-03-24 16:15:22.121791
0,2023-03-24 16:15:22.121960  to  2023-03-24 16:15:33.136241
0,2023-03-24 16:15:33.136409  to  2023-03-24 16:15:44.150411
4,2023-03-24 16:15:44.150578  to  2023-03-24 16:15:55.439761
7,2023-03-24 16:15:55.439929  to  2023-03-24 16:16:06.685870
5,2023-03-24 16:16:06.686036  to  2023-03-24 16:16:17.294055
3,2023-03-24 16:16:17.294190  to  2023-03-24 16:16:28.671149
13,2023-03-24 16:16:28.671316  to  2023-03-24 16:16:39.118135
3,2023-03-24 16:16:39.118288  to  2023-03-24 16:16:50.224572
1,2023-03-24 16:16:50.224741  to  2023-03-24 16:17:01.414240
6,2023-03-24 16:17:01.414410  to  2023-03-24 16:17:12.768446
4,2023-03-24 16:17:12.768726  to  2023-03-24 16:17:23.055084
