Counts in Interval,Time Period
8,2023-03-24 16:04:40.328586  to  2023-03-24 16:04:51.101363
15,2023-03-24 16:04:51.101475  to  2023-03-24 16:05:02.721797
15,2023-03-24 16:05:02.721964  to  2023-03-24 16:05:13.992611
17,2023-03-24 16:05:13.992779  to  2023-03-24 16:05:24.802745
12,2023-03-24 16:05:24.802866  to  2023-03-24 16:05:35.175666
10,2023-03-24 16:05:35.175836  to  2023-03-24 16:05:46.604777
12,2023-03-24 16:05:46.604954  to  2023-03-24 16:05:57.185975
20,2023-03-24 16:05:57.186130  to  2023-03-24 16:06:08.866416
9,2023-03-24 16:06:08.866574  to  2023-03-24 16:06:19.015039
13,2023-03-24 16:06:19.015191  to  2023-03-24 16:06:30.067435
10,2023-03-24 16:06:30.067542  to  2023-03-24 16:06:41.510412
14,2023-03-24 16:06:41.510576  to  2023-03-24 16:06:52.290229
17,2023-03-24 16:06:52.290348  to  2023-03-24 16:07:03.157892
